0,466702.01,4268560.89
1,466742.23,4268550.04
2,466750.43,4268567.50
3,466708.36,4268576.23
4,466713.12,4268605.07
5,466727.41,4268649.92
6,466743.28,4268641.45
7,466756.91,4268638.41
8,466766.30,4268632.19
9,466771.59,4268616.98
10,466775.03,4268613.28
11,466754.13,4268571.87
12,466779.13,4268562.34
13,466786.28,4268574.12
14,466818.29,4268562.34
15,466802.02,4268526.10
16,466771.06,4268536.28
17,466730.05,4268426.88
18,466708.23,4268433.09
19,466697.91,4268439.18
20,466713.12,4268485.75
21,466680.18,4268498.18
